1	â	â	ADP	_	_	_	_	_	@juad1986m-word#@juad1986m#1832.541#1832.978
2	ïðîöåññå	ïðîöåññ	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1832.978#1833.415
3	ýì	ýì	INTJ	_	_	_	_	_	@juad1986m-word#@juad1986m#1833.415#1833.852
4	áîëåçíè	áîëåçíü	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1834.289#1834.726
5	âûçäîðîâëåíèÿ	âûçäîðîâëåíèå	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1834.726#1835.163
6	Âåðçèëîâà	Âåðçèëîâ	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1835.6#1836.041
7	ìíîãèå	ìíîãî	NUM	_	_	_	_	_	@juad1986m-word#@juad1986m#1836.217#1836.512
8	âïåðâûå	âïåðâûå	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1836.512#1836.807
9	óçíàëè	óçíàòü	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@juad1986m-word#@juad1986m#1836.807#1837.102
10	÷òî	÷òî	SCONJ	_	_	_	_	_	@juad1986m-word#@juad1986m#1837.102#1837.397
11	âû	âû	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@juad1986m-word#@juad1986m#1837.397#1837.692
12	óæå	óæå	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1837.692#1837.987
13	íå	íå	PART	_	_	_	_	_	@juad1986m-word#@juad1986m#1837.987#1838.282
14	âìåñòå	âìåñòå	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1838.282#1838.579
15	ñ	ñ	ADP	_	_	_	_	_	@juad1986m-word#@juad1986m#1838.723#1838.954
16	êàêèõ	êàêîé	DET	_	Case=Gen|Number=Plur	_	_	_	@juad1986m-word#@juad1986m#1838.954#1839.185
17	ïîð	ïîðà	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@juad1986m-word#@juad1986m#1839.185#1839.416
18	âû	âû	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@juad1986m-word#@juad1986m#1839.416#1839.647
19	íå	íå	PART	_	_	_	_	_	@juad1986m-word#@juad1986m#1839.647#1839.878
20	âìåñòå	âìåñòå	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1839.878#1840.109
21	?	?	PUNCT	_	_	_	_	_	@juad1986m-word#@juad1986m#1840.109#1840.34
22	ïî÷åìó	ïî÷åìó	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1843.724#1844.168
23	?	?	PUNCT	_	_	_	_	_	@juad1986m-word#@juad1986m#1844.168#1844.612
24	ýòî	ýòî	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1877.949#1878.321
25	áîëåçíåííîå	áîëåçíåííûé	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1878.321#1878.693
26	ðàññòàâàíèå	ðàññòàâàíèå	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1878.693#1879.065
27	áûëî	áûòü	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@juad1986m-word#@juad1986m#1879.065#1879.437
28	ñî	ñ	ADP	_	_	_	_	_	@juad1986m-word#@juad1986m#1879.809#1880.181
29	ñêàíäàëàìè	ñêàíäàë	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur	_	_	_	@juad1986m-word#@juad1986m#1880.181#1880.553
30	ñ	ñ	ADP	_	_	_	_	_	@juad1986m-word#@juad1986m#1880.925#1881.297
31	?	?	PUNCT	_	_	_	_	_	@juad1986m-word#@juad1986m#1881.297#1881.673
32	åãî	åãî	DET	_	_	_	_	_	@juad1986m-word#@juad1986m#1911.833#1912.18
33	íîâàÿ	íîâûé	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1912.18#1912.527
34	äåâóøêà	äåâóøêà	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1912.527#1912.874
35	ììì	ìì	INTJ	_	_	_	_	_	@juad1986m-word#@juad1986m#1913.221#1913.568
36	êîòîðàÿ	êîòîðûé	PRON	_	Case=Nom	_	_	_	@juad1986m-word#@juad1986m#1913.568#1913.915
37	âûáåãàëà	âûáåãàòü	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@juad1986m-word#@juad1986m#1913.915#1914.262
38	íà	íà	ADP	_	_	_	_	_	@juad1986m-word#@juad1986m#1914.262#1914.609
39	ïîëå	ïîëå	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1914.609#1914.956
40	âìåñòå	âìåñòå	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1914.956#1915.303
41	ñ	ñ	ADP	_	_	_	_	_	@juad1986m-word#@juad1986m#1915.303#1915.65
42	íèì	îí	PRON	_	Case=Ins|Gender=Masc|Number=Sing|Person=3	_	_	_	@juad1986m-word#@juad1986m#1915.65#1915.999
43	ààà	àà	INTJ	_	_	_	_	_	@juad1986m-word#@juad1986m#1916.237#1916.547
44	âû	âû	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@juad1986m-word#@juad1986m#1916.547#1916.857
