1	в	в	ADP	_	_	_	_	_	@juad1986m-word#@juad1986m#1832.541#1832.978
2	процессе	процесс	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1832.978#1833.415
3	эм	эм	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1833.415#1833.852
4	/	/	PUNCT	_	_	_	_	_	@juad1986m-word#@juad1986m#1833.852#1834.289
5	болезни	болезнь	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@juad1986m-word#@juad1986m#1834.289#1834.726
6	выздоровления	выздоровление	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1834.726#1835.163
7	/	/	PUNCT	_	_	_	_	_	@juad1986m-word#@juad1986m#1835.163#1835.6
8	Верзилова	Верзилов	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@juad1986m-word#@juad1986m#1835.6#1836.041
9	многие	много	NUM	_	_	_	_	_	@juad1986m-word#@juad1986m#1836.217#1836.512
10	впервые	впервые	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1836.512#1836.807
11	узнали	узнать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@juad1986m-word#@juad1986m#1836.807#1837.102
12	что	что	SCONJ	_	_	_	_	_	@juad1986m-word#@juad1986m#1837.102#1837.397
13	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@juad1986m-word#@juad1986m#1837.397#1837.692
14	уже	уже	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1837.692#1837.987
15	не	не	PART	_	_	_	_	_	@juad1986m-word#@juad1986m#1837.987#1838.282
16	вместе	вместе	ADV	_	Degree=Pos	_	_	_	@juad1986m-word#@juad1986m#1838.282#1838.579
