1;собираетсЯ;собиратьсЯ;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@vap1969m-words#@vap1969m#10.778#11.148
2;народ;народ;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@vap1969m-words#@vap1969m#11.148#11.518
3;же;же;PART;_;_;_;_;_;@vap1969m-words#@vap1969m#11.518#11.888
4;/;/;PUNCT;_;_;_;_;_;@vap1969m-words#@vap1969m#11.888#12.258
5;собираетсЯ;собиратьсЯ;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@vap1969m-words#@vap1969m#12.258#12.631
6;здравствуйте;здравствуйте;INTJ;_;_;_;_;_;@vap1969m-words#@vap1969m#24.207#25.252
7;хорошо;хорошо;ADV;_;Degree=Pos;_;_;_;@vap1969m-words#@vap1969m#29.68#30.331
8;#смеетсЯ#;#смеетсЯ#;X;_;_;_;_;_;@vap1969m-words#@vap1969m#30.331#30.982
9;угу;угу;INTJ;_;_;_;_;_;@vap1969m-words#@vap1969m#53.364#54.049
10;угу;угу;INTJ;_;_;_;_;_;@vap1969m-words#@vap1969m#61.821#62.385
11;понЯтно;понЯтно;ADV;_;Degree=Pos;_;_;_;@vap1969m-words#@vap1969m#62.949#63.233
12;/;/;PUNCT;_;_;_;_;_;@vap1969m-words#@vap1969m#63.233#63.517
13;понЯтно;понЯтно;ADV;_;Degree=Pos;_;_;_;@vap1969m-words#@vap1969m#63.517#63.801
14;/;/;PUNCT;_;_;_;_;_;@vap1969m-words#@vap1969m#63.801#64.085
15;ну;ну;PART;_;_;_;_;_;@vap1969m-words#@vap1969m#64.085#64.369
16;что;что;PRON;_;Case=Nom;_;_;_;@vap1969m-words#@vap1969m#64.369#64.653
17;ж;же;PART;_;_;_;_;_;@vap1969m-words#@vap1969m#64.653#64.942
18;ааа;а;INTJ;_;_;_;_;_;@vap1969m-words#@vap1969m#65.607#66.043
19;/;/;PUNCT;_;_;_;_;_;@vap1969m-words#@vap1969m#66.043#66.479
20;ничего;ничто;PRON;_;Case=Gen;_;_;_;@vap1969m-words#@vap1969m#66.479#66.915
21;особенного;особенный;ADJ;_;Case=Gen|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@vap1969m-words#@vap1969m#66.915#67.351
22;не;не;PART;_;_;_;_;_;@vap1969m-words#@vap1969m#67.351#67.787
23;происходит;происходить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@vap1969m-words#@vap1969m#67.787#68.223
24;/;/;PUNCT;_;_;_;_;_;@vap1969m-words#@vap1969m#68.223#68.659
25;науке;наука;NOUN;_;Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing;_;_;_;@vap1969m-words#@vap1969m#68.659#69.095
26;известно;известный;ADJ;_;Degree=Pos|Gender=Neut|Number=Sing|Variant=Short;_;_;_;@vap1969m-words#@vap1969m#69.095#69.531
27;такое;такой;DET;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@vap1969m-words#@vap1969m#69.531#69.971
28;но;но;CCONJ;_;_;_;_;_;@vap1969m-words#@vap1969m#70.885#71.235
29;действительно;действительно;ADV;_;_;_;_;_;@vap1969m-words#@vap1969m#71.235#71.585
30;со;с;ADP;_;_;_;_;_;@vap1969m-words#@vap1969m#71.585#71.935
31;словами;слово;NOUN;_;Animacy=Inan|Case=Ins|Gender=Neut|Number=Plur;_;_;_;@vap1969m-words#@vap1969m#71.935#72.285
32;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@vap1969m-words#@vap1969m#72.285#72.635
33;случаетсЯ;случатьсЯ;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@vap1969m-words#@vap1969m#72.635#72.985
34;но;но;CCONJ;_;_;_;_;_;@vap1969m-words#@vap1969m#73.549#73.883
35;правда;правда;ADV;_;_;_;_;_;@vap1969m-words#@vap1969m#73.883#74.217
36;не;не;PART;_;_;_;_;_;@vap1969m-words#@vap1969m#74.217#74.551
37;то;то;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@vap1969m-words#@vap1969m#74.551#74.885
38;чтобы;чтобы;SCONJ;_;_;_;_;_;@vap1969m-words#@vap1969m#74.885#75.219
39;вот;вот;PART;_;_;_;_;_;@vap1969m-words#@vap1969m#75.219#75.553
40;прЯмо;прЯмо;ADV;_;Degree=Pos;_;_;_;@vap1969m-words#@vap1969m#75.553#75.887
41;/;/;PUNCT;_;_;_;_;_;@vap1969m-words#@vap1969m#75.887#76.221
42;только;только;PART;_;_;_;_;_;@vap1969m-words#@vap1969m#76.221#76.555
43;сейчас;сейчас;ADV;_;_;_;_;_;@vap1969m-words#@vap1969m#76.555#76.889
44;это;этот;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@vap1969m-words#@vap1969m#76.889#77.223
45;начало;начало;VERB;_;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@vap1969m-words#@vap1969m#77.223#77.557
